"dates","titles","end_price","start_price","high_price","low_price","amount"
"2013-07-02","SK이노베이션, 국내 첫 사회적 기업 팝업스토어 선봬",136000,137500,138000,135000,173266
"2013-07-03",NA,136500,135000,139500,135000,432021
"2013-07-04",NA,139500,137500,141000,137500,447302
"2013-07-05","SK이노베이션, 협력사 사회공헌까지 챙긴다",139000,141500,143000,138500,217855
"2013-07-06","SK이노베이션, 중국 전기차 배터리 시장 공략 닻올려",NA,NA,NA,NA,NA
"2013-07-08",NA,139500,140000,141000,138000,140636
"2013-07-09",NA,139000,139500,140000,135500,262382
"2013-07-10","SK이노베이션, 지구 반대편에서도 사회적 기업 전파",138000,139000,140500,137000,131205
"2013-07-11",NA,145500,140500,147000,140000,599990
"2013-07-12",NA,146500,146000,147500,144500,287787
"2013-07-13","SK이노베이션, ‘환경사랑 글 모음대회’ 시상식 열어",NA,NA,NA,NA,NA
"2013-07-15","SK에너지, 주유에 ‘실속’을 더하다",147500,145000,148500,144000,174803
"2013-07-16",NA,147000,148000,148000,145500,165490
"2013-07-17",NA,147500,147000,149000,145000,228219
"2013-07-18",NA,147500,148000,148500,146500,142853
"2013-07-19",NA,147000,148000,149000,146000,155500
"2013-07-22","SK이노베이션 아이디어 페스티벌(Idea Festival) 개최",148500,148000,149500,147500,208812
"2013-07-23",NA,147000,149000,149500,145500,255108
"2013-07-24",NA,147500,147000,147500,146000,115929
"2013-07-25",NA,147000,146000,148500,145000,204406
"2013-07-26","SK이노베이션, 2분기 매출 16조 8,526억 원, 영업이익 3,955억 원",151000,146500,152500,146500,528742
"2013-07-29",NA,151500,152000,153500,150500,272165
"2013-07-30",NA,153000,152500,153500,151000,172682
"2013-07-31",NA,152000,152500,154000,152000,234506
"2013-08-01",NA,151500,151000,152500,149500,169025
"2013-08-02",NA,152000,154000,155000,152000,242754
"2013-08-05",NA,150000,151000,152000,148000,288268
"2013-08-06",NA,146500,150000,150000,145500,435254
"2013-08-07",NA,145000,144500,146000,143500,247250
"2013-08-08",NA,144500,145500,146500,143500,265069
